SysID	ItemNo	PartNo	PartName	IDCust	Image	IDProject	PackingType	PartTypeID	StdPack	FGLocation	QtyPerCar	SupplierID	CreateBy	IsActive	IsDelete	NameType	INSERT INTO BOM1 (SysID, ItemNo, PartNo, PartName, IDCust, Image, IDProject, PackingType, PartTypeID, StdPack, FGLocation, QtyPerCar, SupplierID, CreateBy, IsActive, IsDelete, NameType) VALUES 
SAI1700315	89	B145-87402	BRKT FR INNER SEAT TRACK LW FR RH  (B121600)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700315','89','B145-87402','BRKT FR INNER SEAT TRACK LW FR RH  (B121600)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700316	90	B403-97507	BRACKET S/A SEAT FRAME SET (1 NUT,WELD)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700316','90','B403-97507','BRACKET S/A SEAT FRAME SET (1 NUT,WELD)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700317	91	A119-87401	PATCH FR SEAT CUSHION (B120100)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700317','91','A119-87401','PATCH FR SEAT CUSHION (B120100)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700318	92	A163-97506-C	BKT FR SEAT BACK SUPPORT RH (D01205130)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700318','92','A163-97506-C','BKT FR SEAT BACK SUPPORT RH (D01205130)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700319	93	A157-97507-A	PANEL FR SEAT BACK SAFETY (D01201310)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700319','93','A157-97507-A','PANEL FR SEAT BACK SAFETY (D01201310)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700320	94	B403-97505	BRACKET S/A SEAT FRAME SET (2 BOLT,WELD)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700320','94','B403-97505','BRACKET S/A SEAT FRAME SET (2 BOLT,WELD)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700321	95	A334-97502	BRACKET RR SEAT CUSH LINK RH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700321','95','A334-97502','BRACKET RR SEAT CUSH LINK RH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700322	96	A266-87601	BRACKET RR SEAT BACK STOPPER	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700322','96','A266-87601','BRACKET RR SEAT BACK STOPPER','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700166	55	88318-73RA0	BRACKET,3RD RCLNG KNOB FR, R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700166','55','88318-73RA0','BRACKET,3RD RCLNG KNOB FR, R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700167	56	88818-73RA0	BRACKET,3RD RCLNG KNOB FR, L	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700167','56','88818-73RA0','BRACKET,3RD RCLNG KNOB FR, L','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700168	57	88122-73RA0	HOOK, SPRING	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700168','57','88122-73RA0','HOOK, SPRING','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700169	58	87324-73R00	BRACKET, RR BACK RCLNG SPRING	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700169','58','87324-73R00','BRACKET, RR BACK RCLNG SPRING','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700172	61	88319-73RA0	BRACKET,3RD RCLNG KNOB RR,R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700172','61','88319-73RA0','BRACKET,3RD RCLNG KNOB RR,R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700174	63	86155-74P60	PLATE S/COMP,LIFTER  LINK RR	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700174','63','86155-74P60','PLATE S/COMP,LIFTER  LINK RR','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700180	69	85312-74P00	BRACKET, FR BACK HINGE,R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700180','69','85312-74P00','BRACKET, FR BACK HINGE,R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700185	74	85124-81P50	PLATE, FR CUSH FRAME, R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700185','74','85124-81P50','PLATE, FR CUSH FRAME, R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
