SAI1700202-3,0,25,0,SAI1700202,64712-TG4R-T002-H1,PLR L, RR INN UP,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1009,,0,NULL
SAI1700202,0,27,0,SAI1700202,64713-TG4R-T002-H1,STIFF L, RR INN UP,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1010,,0,NULL
SAI1700206-1,0,3,0,SAI1700206,1001A74000,C COVER D30D LOCAL,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1026,,0,NULL
SAI1700207-1,0,2,0,SAI1700207,7601218100,CORE PLATE,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1027,,0,NULL
SAI1700351-1,0,1,0,SAI1700351,A122-97506,REINF. FR SEAT CUSHION LH (D01200600),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1194,,0,NULL
SAI1700352-1,0,1,0,SAI1700352,A219-97507,REINF. RR SEAT CUSH SIDE LH (D01202100),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1195,,0,NULL
SAI1700354-1,0,1,0,SAI1700354,A224-87602,PATCH,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1197,,0,NULL
SAI1700355-1,0,1,0,SAI1700355,B515-97502,ARM RECLINING ADJUSTER RELEASE RH (D01203600),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1198,,0,NULL
SAI1700356-1,0,1,0,SAI1700356,A121-97513,BRACKET FR SEAT CUSHION RH (D01200400),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1199,,0,NULL
SAI1700357-1,0,1,0,SAI1700357,B516-97502,ARMREST ADJ RELEASE LH (D01206000),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1200,,0,NULL
SAI1700358-1,0,1,0,SAI1700358,A154-97503 (RI),REINF. FR SEAT BACK FRAME LH (D01201100),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1201,,0,NULL
SAI1700359-1,0,1,0,SAI1700359,A322-97503-A,HINGE SEAT FEMALE (D01202510),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1202,,0,NULL
SAI1700228-2,0,0,0,SAI1700228,A234-87405-R,BRACKET RR SEAT BACK HINGE LH (F01200300),3,RM1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1203,,0,NULL
SAI1700229-2,0,0,0,SAI1700229,B121-97209-R,PLATE, SEAT TRACK LOCK,3,RM1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1204,,0,NULL
